Year,Election,Province,District Number,Party,Candidate name,"Candidate Gender L=Male, P=Female",Candidate list position
2024,DPR,ACEH ,ACEH II,PKN,NABILA ARFAH YUANA,PEREMPUAN,5
2024,DPR,ACEH ,ACEH II,Hanura,NAZAR,LAKI - LAKI,6
2024,DPR,ACEH ,ACEH II,Perindo,"NOERFAIZI, S.H.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH II,PAN,NONONG SAKURA,PEREMPUAN,5
2024,DPR,ACEH ,ACEH II,Hanura,"NOVI YUNITA, S.E.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,PPP,NYA'ZATA AMANI,PEREMPUAN,5
2024,DPR,ACEH ,ACEH II,Nasdem,"Prof. Dr. Ir. H. ABDULLAH PUTEH, M.Si.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,PKN,RAZUARDI,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,Demokrat,"RIDHWAN ARIFFALAH RUSLI BINTANG, B.Sc., M.A.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,PKN,RINI ANDIYANI,PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,PSI,"RIRIN RAHMADHANI, S.T.",PEREMPUAN,5
2024,DPR,ACEH ,ACEH II,PBB,"Rita Septiana, A.Md.Keb.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,PBB,Rosda Lyanti,PEREMPUAN,6
2024,DPR,ACEH ,ACEH II,PBB,"RUSLI, S.Sos.I.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,Golkar,SAMSUL BAHRI TIYONG,LAKI - LAKI,6
2024,DPR,ACEH ,ACEH II,Gelora,"SARI DEWI, S.E.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,PPP,SIKDAM,LAKI - LAKI,6
2024,DPR,ACEH ,ACEH II,PKB,SUMADI ARSYAH,LAKI - LAKI,5
2024,DPR,ACEH ,ACEH II,PBB,T. MAHYUDDIN A.R.,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,Gerindra,"T. ZAINAL ABIDIN, S.Pd.I., M.H.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH II,Garuda,"TAMY FATMILA IBRAHIM, S.Sos.I.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,PKS,"TENGKU INSYAFUDDIN, S.T.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,PAN,"TEUKU HASBULLAH H.D., S.T.",LAKI - LAKI,6
2024,DPR,ACEH ,ACEH II,Buruh,Tukimin,LAKI - LAKI,6
2024,DPR,ACEH ,ACEH II,PKN,"URIESSAMADIN, S.Hut.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH II,Hanura,"USMAN ABDULLAH, S.E.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,PSI,"YUNINGSIH, S.E.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,Ummat,YUSNILAWATI,PEREMPUAN,3
2024,DPR,ACEH ,ACEH II,Garuda,ZIMI ARAMIKO,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH II,PKN,ZULFIKAR H.,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH II,PSI,ZULKHAIRI,LAKI - LAKI,6
2024,DPR,ACEH ,ACEH II,Gelora,ZULKIFLI USMAN,LAKI - LAKI,4
2024,DPR,BALI,BALI,Gerindra,A. A. AYU MAHA INDRA KEMALA SANJAYA,PEREMPUAN,6
2024,DPR,BALI,BALI,PAN,A.A NGR SRI ARTINI,PEREMPUAN,3
2024,DPR,BALI,BALI,Golkar,A.A. BAGUS ADHI MAHENDRA PUTRA,LAKI - LAKI,4
2024,DPR,BALI,BALI,PKB,"ABDUL HALIM, S.H.",LAKI - LAKI,2
2024,DPR,BALI,BALI,PKS,ABDURRACHMAN,LAKI - LAKI,2
2024,DPR,BALI,BALI,PAN,"ABUD BAHASWAN, S.H.",LAKI - LAKI,1
2024,DPR,BALI,BALI,PPP,"AGUS FERRY HERMAWAN, S.E.",LAKI - LAKI,3
2024,DPR,BALI,BALI,Buruh,Ahmad Zein Hamran,LAKI - LAKI,6
2024,DPR,BALI,BALI,PBB,ALFIAN TRENGGANA,LAKI - LAKI,6
2024,DPR,BALI,BALI,Garuda,ANAK AGUNG AYU INDRA DIANA DEWI S.,PEREMPUAN,9
2024,DPR,BALI,BALI,Garuda,ANDRE SILFAN,LAKI - LAKI,7
2024,DPR,BALI,BALI,Garuda,ANGGARIASIH,PEREMPUAN,3
2024,DPR,BALI,BALI,Buruh,Anita Sephia M. M.,PEREMPUAN,7
2024,DPR,BALI,BALI,PPP,ARFINA CITRA TAIBU,PEREMPUAN,6
2024,DPR,BALI,BALI,PPP,ARTIN SANDRA,PEREMPUAN,2
2024,DPR,BALI,BALI,PPP,AULIA RACHMAN,LAKI - LAKI,4
2024,DPR,BALI,BALI,Gelora,"BAGUS ZUNTORO PUTRO, S.H.",LAKI - LAKI,6
2024,DPR,BALI,BALI,PKN,BUDI HARTAWAN,LAKI - LAKI,9
2024,DPR,BALI,BALI,Gelora,DEDDY ASLAM,LAKI - LAKI,4
2024,DPR,BALI,BALI,PKS,"DEDI SUHARDADI, S.H., S.E.",LAKI - LAKI,8
2024,DPR,BALI,BALI,PSI,"DEDY NUR, S.T.",LAKI - LAKI,4
2024,DPR,BALI,BALI,PKS,"DEFRIZAL, S.Or.",LAKI - LAKI,3
2024,DPR,BALI,BALI,Perindo,"DEWA AYU PUTRI SUKADANA, S.H., M.H.",PEREMPUAN,7
2024,DPR,BALI,BALI,Demokrat,Dr. Dadang Hermawan,LAKI - LAKI,4
2024,DPR,BALI,BALI,PKS,"Dr. Hj. TUTI MARIANI, S.Pd., M.M.",PEREMPUAN,1
2024,DPR,BALI,BALI,PDIP,"Dr. I GUSTI AYU DIAH WERDHI SRIKANDI WEDASTERAPUTRI SUYASA, S.E., M.M.",PEREMPUAN,9
2024,DPR,BALI,BALI,Golkar,"Dr. I NYOMAN SUGAWA KORRY, S.E., M.M., CA",LAKI - LAKI,1
2024,DPR,BALI,BALI,PSI,"Dr. IRMA IVONNE JUNE KAIRUPAN, S.Th., M.A.",PEREMPUAN,3
2024,DPR,BALI,BALI,Perindo,"drg. I AYU EKA PUTRI, S.K.G.",PEREMPUAN,5
2024,DPR,BALI,BALI,PSI,Drs. I GUSTI NGURAH HARTA,LAKI - LAKI,1
2024,DPR,BALI,BALI,Golkar,"Drs. I WAYAN KUSMIANTHA DUSAK, S.H.",LAKI - LAKI,5
2024,DPR,BALI,BALI,Nasdem,Drs. I WAYAN SUDIARA,LAKI - LAKI,9
